SpreadsheetImportPlus v1,,,,,,,,,,,,,,
từ vựng,nghĩa,loại từ,giải thích,ví dụ,nghĩa ví dụ,collocation,synonym,antonym,tag_1,tag_2,tag_3,tag_4,id,_tags
몽골,Mông Cổ,Danh từ,,저는 **몽골** 사람이에요.,Tôi là người **Mông Cổ**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00014,THTH::Quyển-01::Bài-01::1.Quốc_gia
인도네시아,Indonesia,Danh từ,,저는 **인도네시아** 사람이에요.,Tôi là người **Indonesia**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00015,THTH::Quyển-01::Bài-01::1.Quốc_gia
필리핀,Philippines,Danh từ,,저는 **필리핀** 사람이에요.,Tôi là người **Philippines**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00016,THTH::Quyển-01::Bài-01::1.Quốc_gia
인도,Ấn Độ,Danh từ,,저는 **인도** 사람이에요.,Tôi là người **Ấn Độ**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00017,THTH::Quyển-01::Bài-01::1.Quốc_gia
영국,Vương quốc Anh,Danh từ,,저는 **영국** 사람이에요.,Tôi là người **Anh**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00018,THTH::Quyển-01::Bài-01::1.Quốc_gia
독일,Đức,Danh từ,,저는 **독일** 사람이에요.,Tôi là người **Đức**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00019,THTH::Quyển-01::Bài-01::1.Quốc_gia
프랑스,Pháp,Danh từ,,저는 **프랑스** 사람이에요.,Tôi là người **Pháp**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00020,THTH::Quyển-01::Bài-01::1.Quốc_gia
러시아,Nga,Danh từ,,저는 **러시아** 사람이에요.,Tôi là người **Nga**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00021,THTH::Quyển-01::Bài-01::1.Quốc_gia
직업,nghề nghiệp,Danh từ,,제 **직업**은 학생이에요.,**Nghề nghiệp** của tôi là học sinh.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00022,THTH::Quyển-01::Bài-01::2.Nghề_nghiệp
학생,học sinh / sinh viên,Danh từ,,저는 **학생**이에요.,Tôi là **học sinh / sinh viên**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00023,THTH::Quyển-01::Bài-01::2.Nghề_nghiệp
회사원,nhân viên công ty,Danh từ,,저는 **회사원**이에요.,Tôi là **nhân viên công ty**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00024,THTH::Quyển-01::Bài-01::2.Nghề_nghiệp
은행원,nhân viên ngân hàng,Danh từ,,저는 **은행원**이에요.,Tôi là **nhân viên ngân hàng**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00025,THTH::Quyển-01::Bài-01::2.Nghề_nghiệp
선생님,thầy/cô giáo,Danh từ,**-님** là hậu tố tôn kính,저는 **선생님**이에요.,Tôi là **thầy/cô giáo**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00026,THTH::Quyển-01::Bài-01::2.Nghề_nghiệp
의사,bác sĩ,Danh từ,,저는 **의사**예요.,Tôi là **bác sĩ**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00027,THTH::Quyển-01::Bài-01::2.Nghề_nghiệp
공무원,nhân viên nhà nước (công chức),Danh từ,,저는 **공무원**이에요.,Tôi là **nhân viên nhà nước**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00028,THTH::Quyển-01::Bài-01::2.Nghề_nghiệp
관광 가이드,hướng dẫn viên du lịch,Cụm Danh từ,,저는 **관광 가이드**예요.,Tôi là **hướng dẫn viên du lịch**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00029,THTH::Quyển-01::Bài-01::2.Nghề_nghiệp
주부,nội trợ,Danh từ,(người làm việc nhà chính trong gia đình),저는 **주부**예요.,Tôi là **nội trợ**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00030,THTH::Quyển-01::Bài-01::2.Nghề_nghiệp
약사,dược sĩ,Danh từ,,저는 **약사**예요.,Tôi là **dược sĩ**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00031,THTH::Quyển-01::Bài-01::2.Nghề_nghiệp
운전기사,tài xế,Danh từ,,저는 **운전기사**예요.,Tôi là **tài xế**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00032,THTH::Quyển-01::Bài-01::2.Nghề_nghiệp
인사말,lời chào hỏi,Danh từ,,이것은 **인사말**이에요.,Đây là **lời chào hỏi**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00033,THTH::Quyển-01::Bài-01::3.Lời_chào
안녕하세요?,Xin chào?,Câu,"Dùng khi gặp mặt, bất kể thời gian trong ngày, trang trọng",**안녕하세요?**,**Xin chào?**,,,,THTH,Quyển_01,Bài_01,,THTH-01-00034,THTH::Quyển-01::Bài-01::3.Lời_chào
안녕히 가세요.,Tạm biệt (Đi bình an),Câu,Nói với người rời đi,**안녕히 가세요.**,**Tạm biệt.** (Nói với người đi),,,,THTH,Quyển_01,Bài_01,,THTH-01-00035,THTH::Quyển-01::Bài-01::3.Lời_chào
안녕히 계세요.,Tạm biệt (Ở lại bình an),Câu,Nói với người ở lại,**안녕히 계세요.**,**Tạm biệt.** (Nói với người ở lại),,,,THTH,Quyển_01,Bài_01,,THTH-01-00036,THTH::Quyển-01::Bài-01::3.Lời_chào
처음 뵙겠습니다.,Rất vui được gặp lần đầu,Câu,"Dùng trong lần gặp đầu tiên, rất trang trọng",**처음 뵙겠습니다.**,**Rất vui được gặp lần đầu.**,,,,THTH,Quyển_01,Bài_01,,THTH-01-00037,THTH::Quyển-01::Bài-01::3.Lời_chào
반갑습니다.,Rất vui được gặp,Câu,"Dùng khi gặp mặt (có thể là lần đầu hoặc không), thân mật hơn",**반갑습니다.**,**Rất vui được gặp.**,,,,THTH,Quyển_01,Bài_01,,THTH-01-00038,THTH::Quyển-01::Bài-01::3.Lời_chào
국어국문학과,Khoa Ngữ văn Hàn,Danh từ,Khoa học về ngôn ngữ và văn học Hàn Quốc,이것은 **국어국문학과**예요.,Đây là **Khoa Ngữ văn Hàn**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00039,THTH::Quyển-01::Bài-01::4.Từ_mới
국적,quốc tịch,Danh từ,,제 **국적**은 베트ナム이에요.,**Quốc tịch** của tôi là Việt Nam.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00040,THTH::Quyển-01::Bài-01::4.Từ_mới
대학교,trường đại học,Danh từ,,여기는 **대학교**예요.,Đây là **trường đại học**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00041,THTH::Quyển-01::Bài-01::4.Từ_mới
보기,ví dụ,Danh từ,"Thường dùng trong sách giáo khoa, tài liệu để minh họa",이것은 **보기**예요.,Đây là **ví dụ**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00042,THTH::Quyển-01::Bài-01::4.Từ_mới
사람,người,Danh từ,,이 **사람**은 친구예요.,**Người** này là bạn tôi.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00043,THTH::Quyển-01::Bài-01::4.Từ_mới
이름,tên,Danh từ,,제 **이름**은 민준이에요.,**Tên** tôi là Minjun.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00044,THTH::Quyển-01::Bài-01::4.Từ_mới
이메일,email,Danh từ,,이것은 제 **이메일**이에요.,Đây là **email** của tôi.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00045,THTH::Quyển-01::Bài-01::4.Từ_mới
전화,điện thoại,Danh từ,Có thể chỉ cuộc gọi hoặc cái điện thoại,이것은 **전화**예요.,Đây là **điện thoại**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00046,THTH::Quyển-01::Bài-01::4.Từ_mới
주소,địa chỉ,Danh từ,,이것은 제 **주소**예요.,Đây là **địa chỉ** của tôi.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00047,THTH::Quyển-01::Bài-01::4.Từ_mới
제 직업,công việc của tôi,Cụm Danh từ,**제** là dạng lịch sự/khiêm tốn của 'của tôi' (저의),**제 직업**은 학생이에요.,**Công việc của tôi** là học sinh.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00048,THTH::Quyển-01::Bài-01::4.Từ_mới
학과,khoa (trong trường đại học),Danh từ,,제 **학과**는 한국어과예요.,**Khoa** của tôi là khoa tiếng Hàn.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00049,THTH::Quyển-01::Bài-01::4.Từ_mới
학번,mã số sinh viên,Danh từ,,이것은 제 **학번**이에요.,Đây là **mã số sinh viên** của tôi.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00050,THTH::Quyển-01::Bài-01::4.Từ_mới
제 학번,mã số sinh viên của tôi,Cụm Danh từ,**제** là dạng lịch sự/khiêm tốn của 'của tôi' (저의),**제 학번**은 20251234예요.,**Mã số sinh viên của tôi** là 20251234.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00051,THTH::Quyển-01::Bài-01::4.Từ_mới
학생증,thẻ sinh viên,Danh từ,,이것은 제 **학생증**이에요.,Đây là **thẻ sinh viên** của tôi.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00052,THTH::Quyển-01::Bài-01::4.Từ_mới
한국어,tiếng Hàn Quốc (học thuật/chính thức),Danh từ,"Thường dùng khi nói về ngôn ngữ một cách học thuật, tên gọi chính thức",이것은 **한국어** 책이에요.,Đây là sách **tiếng Hàn Quốc**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00053,THTH::Quyển-01::Bài-01::4.Từ_mới
한국어과,khoa tiếng Hàn,Danh từ,,여기는 **한국어과**예요.,Đây là **khoa tiếng Hàn**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00054,THTH::Quyển-01::Bài-01::4.Từ_mới
한국말,tiếng Hàn Quốc (giao tiếp/thông dụng),Danh từ,"Thường dùng khi nói về ngôn ngữ nói hàng ngày, giao tiếp thông thường",저는 **한국말**을 해요.,Tôi nói **tiếng Hàn Quốc**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00055,THTH::Quyển-01::Bài-01::4.Từ_mới
장소,nơi chốn,Danh từ,,여기는 좋은 **장소**예요.,Đây là một **nơi chốn** tốt.,장소를 찾다 (tìm nơi chốn),곳,,THTH,Quyển_01,Bài_02,,THTH-01-00056,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
학교,trường học,Danh từ,,여기는 **학교**예요.,Đây là **trường học**.,학교에 가다 (đi học),,,THTH,Quyển_01,Bài_02,,THTH-01-00057,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
도서관,thư viện,Danh từ,,여기는 **도서관**이에요.,Đây là **thư viện**.,도서관에서 공부하다 (học ở thư viện),,,THTH,Quyển_01,Bài_02,,THTH-01-00058,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
식당,nhà ăn/quán ăn,Danh từ,,여기는 **식당**이에요.,Đây là **nhà ăn/quán ăn**.,식당에서 밥을 먹다 (ăn ở nhà hàng),음식점,,THTH,Quyển_01,Bài_02,,THTH-01-00059,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
호텔,khách sạn,Danh từ,,여기는 **호텔**이에요.,Đây là **khách sạn**.,호텔을 예약하다 (đặt khách sạn),,,THTH,Quyển_01,Bài_02,,THTH-01-00060,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
극장,rạp chiếu phim,Danh từ,,여기는 **극장**이에요.,Đây là **rạp chiếu phim**.,극장에서 영화를 보다 (xem phim ở rạp),영화관,,THTH,Quyển_01,Bài_02,,THTH-01-00061,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
우체국,bưu điện,Danh từ,,여기는 **우체국**이에요.,Đây là **bưu điện**.,우체국에서 편지를 보내다 (gửi thư ở bưu điện),,,THTH,Quyển_01,Bài_02,,THTH-01-00062,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
병원,bệnh viện,Danh từ,,여기는 **병원**이에요.,Đây là **bệnh viện**.,병원에 가다 (đến bệnh viện),,,THTH,Quyển_01,Bài_02,,THTH-01-00063,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
은행,ngân hàng,Danh từ,,여기는 **은행**이에요.,Đây là **ngân hàng**.,은행에서 돈을 찾다 (rút tiền ở ngân hàng),,,THTH,Quyển_01,Bài_02,,THTH-01-00064,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
백화점,trung tâm thương mại/bách hóa tổng hợp,Danh từ,,여기는 **백화점**이에요.,Đây là **trung tâm thương mại**.,백화점에서 쇼핑하다 (mua sắm ở TTTM),,,THTH,Quyển_01,Bài_02,,THTH-01-00065,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
약국,hiệu thuốc,Danh từ,,여기는 **약국**이에요.,Đây là **hiệu thuốc**.,약국에서 약을 사다 (mua thuốc ở hiệu thuốc),,,THTH,Quyển_01,Bài_02,,THTH-01-00066,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
가게,cửa hàng,Danh từ,,여기는 **가게**예요.,Đây là **cửa hàng**.,가게를 열다/닫다 (mở/đóng cửa hàng),상점,,THTH,Quyển_01,Bài_02,,THTH-01-00067,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
사무실,văn phòng,Danh từ,,여기는 **사무실**이에요.,Đây là **văn phòng**.,사무실에서 일하다 (làm việc ở văn phòng),,,THTH,Quyển_01,Bài_02,,THTH-01-00068,THTH::Quyển-01::Bài-02::1.Nơi_chốn_1
학교 시설,trang thiết bị trường học,Cụm Danh từ,,이것은 **학교 시설**이에요.,Đây là **trang thiết bị trường học**.,,,,THTH,Quyển_01,Bài_02,,THTH-01-00069,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
시설,trang thiết bị,Danh từ,,이것은 좋은 **시설**이에요.,Đây là **trang thiết bị** tốt.,시설이 좋다/나쁘다 (thiết bị tốt/tồi),설비,,THTH,Quyển_01,Bài_02,,THTH-01-00070,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
강당,hội trường,Danh từ,"<b>Sức chứa:</b> trăm ~ ngàn người <br><b>Ghế:</b> phẳng / dạng bậc thang<br><b>Mục đích:</b> Diễn thuyết, biểu diễn, sự kiện, mít tinh",여기는 **강당**이에요.,Đây là **hội trường**.,강당에 모이다 (tập trung ở hội trường),,,THTH,Quyển_01,Bài_02,,THTH-01-00071,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
강의실,phòng học/giảng đường,Danh từ,"<b>Sức chứa:</b> chục ~ trăm người <br><b>Ghế:</b> dạng bậc thang<br><b>Mục đích:</b> Bài giảng, thuyết trình, hội thảo lớn",여기는 **강의실**이에요.,Đây là **phòng học/giảng đường**.,강의실에서 수업을 듣다 (nghe giảng ở giảng đường),교실,,THTH,Quyển_01,Bài_02,,THTH-01-00072,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
교실,lớp học/phòng học,Danh từ,"<b>Sức chứa:</b> 10 ~ 50 người <br><b>Ghế:</b> dạng lớp học bình thường<br><b>Mục đích:</b> Lớp học nhỏ, hoạt động nhóm, thảo luận, thực hành",여기는 **교실**이에요.,Đây là **lớp học/phòng học**.,교실이 넓다/좁다 (lớp học rộng/hẹp),강의실,,THTH,Quyển_01,Bài_02,,THTH-01-00073,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
화장실,phòng vệ sinh,Danh từ,,여기는 **화장실**이에요.,Đây là **phòng vệ sinh**.,화장실에 가다 (đi vệ sinh),,,THTH,Quyển_01,Bài_02,,THTH-01-00074,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
휴게실,phòng nghỉ,Danh từ,,여기는 **휴게실**이에요.,Đây là **phòng nghỉ**.,휴게실에서 쉬다 (nghỉ ngơi ở phòng nghỉ),,,THTH,Quyển_01,Bài_02,,THTH-01-00075,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
랩실 / 어학실,phòng lab/phòng học ngoại ngữ,Danh từ,,여기는 **랩실**이에요.,Đây là **phòng lab**.,랩실에서 실험하다 (thí nghiệm ở phòng lab),,,THTH,Quyển_01,Bài_02,,THTH-01-00076,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
동아리방,phòng sinh hoạt câu lạc bộ,Danh từ,,여기는 **동아리방**이에요.,Đây là **phòng câu lạc bộ**.,동아리방에 모이다 (tụ tập ở phòng CLB),,,THTH,Quyển_01,Bài_02,,THTH-01-00077,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
체육관,nhà thi đấu thể thao,Danh từ,,여기는 **체육관**이에요.,Đây là **nhà thi đấu**.,체육관에서 운동하다 (tập thể dục ở nhà thi đấu),,,THTH,Quyển_01,Bài_02,,THTH-01-00078,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
운동장,sân vận động,Danh từ,,여기는 **운동장**이에요.,Đây là **sân vận động**.,운동장에서 축구를 하다 (đá bóng ở sân vận động),,,THTH,Quyển_01,Bài_02,,THTH-01-00079,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
학생 식당,nhà ăn sinh viên/căn tin,Cụm Danh từ,,여기는 **학생 식당**이에요.,Đây là **nhà ăn sinh viên**.,학생 식당에서 점심을 먹다 (ăn trưa ở căn tin),학식 (nói tắt),,THTH,Quyển_01,Bài_02,,THTH-01-00080,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
세미나실,phòng hội thảo,Danh từ,,여기는 **세미나실**이에요.,Đây là **phòng hội thảo**.,세미나실을 빌리다 (mượn phòng hội thảo),,,THTH,Quyển_01,Bài_02,,THTH-01-00081,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
서점,hiệu sách,Danh từ,,여기는 **서점**이에요.,Đây là **hiệu sách**.,서점에서 책을 사다 (mua sách ở hiệu sách),책방,,THTH,Quyển_01,Bài_02,,THTH-01-00082,THTH::Quyển-01::Bài-02::2.Trang_thiết_bị_trường_học
교실 물건,đồ vật trong phòng học,Cụm Danh từ,,이것은 **교실 물건**이에요.,Đây là **đồ vật trong phòng học**.,,,,THTH,Quyển_01,Bài_02,,THTH-01-00083,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
물건,đồ vật,Danh từ,,이것은 **물건**이에요.,Đây là **đồ vật**.,물건을 사다 (mua đồ),물품,,THTH,Quyển_01,Bài_02,,THTH-01-00084,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
책상,bàn (học/làm việc),Danh từ,,이것은 **책상**이에요.,Đây là cái **bàn**.,책상에 앉다 (ngồi vào bàn),,,THTH,Quyển_01,Bài_02,,THTH-01-00085,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
의자,cái ghế,Danh từ,,이것은 **의자**예요.,Đây là cái **ghế**.,의자에 앉다 (ngồi lên ghế),,,THTH,Quyển_01,Bài_02,,THTH-01-00086,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
칠판,bảng (viết phấn/bút lông),Danh từ,,이것은 **칠판**이에요.,Đây là cái **bảng**.,칠판에 글씨를 쓰다 (viết chữ lên bảng),,,THTH,Quyển_01,Bài_02,,THTH-01-00087,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
문,cánh cửa,Danh từ,,이것은 **문**이에요.,Đây là cái **cửa**.,문을 열다/닫다 (mở/đóng cửa),,,THTH,Quyển_01,Bài_02,,THTH-01-00088,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
창문,cửa sổ,Danh từ,,이것은 **창문**이에요.,Đây là **cửa sổ**.,창문을 열다/닫다 (mở/đóng cửa sổ),,,THTH,Quyển_01,Bài_02,,THTH-01-00089,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
시계,đồng hồ,Danh từ,,이것은 **시계**예요.,Đây là cái **đồng hồ**.,시계를 보다 (xem đồng hồ),,,THTH,Quyển_01,Bài_02,,THTH-01-00090,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
가방,cặp sách,Danh từ,,이것은 **가방**이에요.,Đây là cái **cặp sách**.,가방을 메다 (đeo cặp),,,THTH,Quyển_01,Bài_02,,THTH-01-00091,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
컴퓨터,máy vi tính,Danh từ,,이것은 **컴퓨터**예요.,Đây là **máy vi tính**.,컴퓨터를 켜다/끄다 (mở/tắt máy tính),,,THTH,Quyển_01,Bài_02,,THTH-01-00092,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
책,sách,Danh từ,,이것은 **책**이에요.,Đây là **sách**.,책을 읽다 (đọc sách),도서,,THTH,Quyển_01,Bài_02,,THTH-01-00093,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
공책,vở,Danh từ,,이것은 **공책**이에요.,Đây là **vở**.,공책에 필기하다 (ghi chép vào vở),노트,,THTH,Quyển_01,Bài_02,,THTH-01-00094,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
사전,từ điển,Danh từ,,이것은 **사전**이에요.,Đây là **từ điển**.,사전을 찾다 (tra từ điển),,,THTH,Quyển_01,Bài_02,,THTH-01-00095,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
지우개,"cục tẩy, gôm",Danh từ,,이것은 **지우개**예요.,Đây là **cục tẩy**.,지우개로 지우다 (tẩy bằng cục tẩy),,,THTH,Quyển_01,Bài_02,,THTH-01-00096,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
지도,bản đồ,Danh từ,,이것은 **지도**예요.,Đây là **bản đồ**.,지도를 보다 (xem bản đồ),,,THTH,Quyển_01,Bài_02,,THTH-01-00097,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
펜,"bút, viết",Danh từ,,이것은 **펜**이에요.,Đây là cây **bút**.,펜으로 쓰다 (viết bằng bút),,,THTH,Quyển_01,Bài_02,,THTH-01-00098,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
필통,hộp bút,Danh từ,,이것은 **필통**이에요.,Đây là **hộp bút**.,필통에 펜을 넣다 (cho bút vào hộp bút),,,THTH,Quyển_01,Bài_02,,THTH-01-00099,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
여기,ở đây,Danh từ,Chỉ vị trí gần người nói,**여기**는 학교예요.,**Ở đây** là trường học.,,이곳,"저기, 거기",THTH,Quyển_01,Bài_02,,THTH-01-00100,THTH::Quyển-01::Bài-02::3.Đồ_vật_trong_phòng_học
거기,ở đó,Danh từ,Chỉ vị trí gần người nghe (xa người nói),**거기**는 식당이에요.,**Ở đó** là nhà ăn.,,그곳,"여기, 저기",THTH,Quyển_01,Bài_02,,THTH-01-00101,THTH::Quyển-01::Bài-02::4.Từ_mới
저기,ở kia,Danh từ,Chỉ vị trí xa cả người nói và người nghe,**저기**는 은행이에요.,**Ở kia** là ngân hàng.,,저곳,"여기, 거기",THTH,Quyển_01,Bài_02,,THTH-01-00102,THTH::Quyển-01::Bài-02::4.Từ_mới
이것,cái này,Danh từ,Chỉ vật gần người nói,**이것**은 책이에요.,**Cái này** là sách.,,이거,"저것, 그것",THTH,Quyển_01,Bài_02,,THTH-01-00103,THTH::Quyển-01::Bài-02::4.Từ_mới
그것,cái đó,Danh từ,Chỉ vật gần người nghe (xa người nói),**그것**은 가방이에요.,**Cái đó** là cái cặp.,,그거,"이것, 저것",THTH,Quyển_01,Bài_02,,THTH-01-00104,THTH::Quyển-01::Bài-02::4.Từ_mới
저것,cái kia,Danh từ,Chỉ vật xa cả người nói và người nghe,**저것**은 시계예요.,**Cái kia** là cái đồng hồ.,,저거,"이것, 그것",THTH,Quyển_01,Bài_02,,THTH-01-00105,THTH::Quyển-01::Bài-02::4.Từ_mới
명동,Myeongdong (địa danh),Danh từ,Tên một khu vực mua sắm nổi tiếng ở Seoul,여기는 **명동**이에요.,Đây là **Myeongdong**.,명동에 가다 (đi Myeongdong),,,THTH,Quyển_01,Bài_02,,THTH-01-00106,THTH::Quyển-01::Bài-02::4.Từ_mới
무엇,cái gì,Danh từ,Dùng để hỏi về vật,이것은 **무엇**이에요?,Cái này là **cái gì**?,무엇을 해요? (làm cái gì?),뭐,,THTH,Quyển_01,Bài_02,,THTH-01-00107,THTH::Quyển-01::Bài-02::4.Từ_mới
어디,ở đâu,Danh từ,Dùng để hỏi về nơi chốn,여기가 **어디**예요?,Đây là **ở đâu**?,어디에 가요? (đi đâu?),,,THTH,Quyển_01,Bài_02,,THTH-01-00108,THTH::Quyển-01::Bài-02::4.Từ_mới
